"";"";"";"Name";"Data File";"Type";"Level";"Acq. Date-Time";"i-C14:0";"a-C14:0";"C14:0";"i-C15:0";"a-C15:0";"bohMe C16:0";"C15:0";"ribohMe C16:0";"i-C16:0";"7Me C17:0";"C16:0";"bohMe C17:0 sul284";"bohMe C17:0 ";"C16:1omega7";"ribohMe C17:0";"C16:1 omega5 ";"i-C17:0";"a-C17:0";"10Me C18:0";"C17:0";"bohMe C18:0";"C17delta";"unk 126";"C17:1 omega 9";"C18:0";"2-OH C14:0";"bohMe C19:0";"C18:1 omega 9 cis";"C18:1 omega 9trans e 7cis";"boh C18:1";"C18:2";"3-OH C14:0";"C19:0";"C19:0 delta";"C20:0";"2-OH C16:0";"C20:2";"cis-11.14-Eicosadienoic acid methyl ester"
"1";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"KOVATS MIX 25 PPM.D";"Sample";NA;"28/09/2017 02:44";0;0;0;1.1366;0;1.7355;0.0192;1.7323;0;0.1811;1.7695;0.6882;0.1563;0.1796;354.579;0.1495;0.1323;0.1251;0.5011;0.1491;0.2307;0;240.3027;0.3571;1.9339;1.4647;2.1393;0.583;0.5799;0.7849;0.6296;0.1806;2.3223;0.1619;0;1.46;0.6461;4.8915
"2";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"2-9B1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 03:31";0.3962;0;0.8532;3.3467;3.2649;1.8013;0.4802;1.7657;2.6418;0.3297;10.0111;5.4444;1.5782;0.1714;3.1345;0.212;1.464;1.4025;4.1392;0.714;1.3562;3.2984;1.2491;0.0012;111.8222;1.9476;4.2677;16.4297;1.2725;0.7257;11.1175;0.253;36.8328;0.2159;7.5377;0.9497;0.6315;0.2618
"3";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"3-4C1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 04:18";0.0677;0;0.1171;1.8723;0.8556;1.78;0.2115;1.7459;0.6729;0.2036;6.643;3.032;0.9588;0.1433;1.7513;0.1688;0.9348;0.446;2.5255;0.4028;0.6715;1.154;1.0597;0.0042;131.4906;1.5483;3.3356;10.4857;1.0841;0.9612;7.8284;0.1662;30.0213;0.2655;6.2436;1.6963;0.7401;0.3619
"4";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"4-9B2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 05:06";0.1984;0;0.735;2.9176;2.6868;1.8192;0.4033;1.7721;2.3743;0.3289;8.0395;5.0157;1.5788;0.1523;3.165;0.1612;1.3498;1.2395;4.4325;0.5667;1.1674;2.7613;1.1502;0.0013;37.6057;0.9849;3.9488;15.5416;1.158;0.642;10.6449;0.2385;38.7215;0.1699;5.3128;0.885;0.6484;0.3265
"5";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"5-9C2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 05:52";0.7863;0;1.199;5.3688;6.1095;1.9537;0.7805;1.8393;6.0121;0.4441;10.3096;9.4576;3.2242;0.2445;2.2151;0.1606;2.3254;1.9553;8.9669;0.8667;2.1392;4.773;1.1958;0.0015;20.2497;1.1902;3.6225;9.502;1.128;0.7315;6.7453;0.1956;27.0272;0.24;4.8751;0.8389;0.9453;0.3783
"6";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"6-9B3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 06:39";0.432;0;0.8804;3.6509;3.6241;1.8864;0.5227;1.7766;3.3729;0.4559;8.6194;5.0232;1.4855;0.4636;0.8473;0.2415;0.9612;0.9019;6.2404;0.5057;1.4434;2.2134;1.1028;5e-04;22.0166;1.3871;3.6953;13.4757;1.0675;1.2598;9.96;0.1933;33.2685;0.2111;4.8944;2.3066;1.0135;0.4105
"7";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"7-MIX BIS COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 07:26";0.2938;0;0.4912;3.2217;2.6352;1.8596;0.3693;1.7907;2.528;0.3182;6.3508;5.7525;1.7102;0.1556;2.3811;0.2203;1.2475;0.9929;6.0721;0.4185;1.0976;1.9308;1.8882;0.0025;44.9878;1.1743;3.0885;7.3982;1.0744;0.7333;4.3234;0.2092;16.6528;0.1853;3.5149;1.2876;0.9208;0.2368
"8";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"8-10B2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 08:13";0.2055;0;0.3967;3.2427;2.7265;1.861;0.3588;1.7727;2.9192;0.4016;6.6942;5.6907;1.7144;0.1842;2.4428;0.2745;1.3629;1.0138;5.4256;0.553;1.0502;3.0632;3.4324;0.0073;83.1227;1.2457;2.7957;4.1931;0.874;0.6732;2.9345;0.254;13.4311;0.2651;4.3639;1.03;0.833;0.2543
"9";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"9-9A2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 09:00";0;0;0;1.0851;0;1.7337;0.0171;1.7367;0;0.1496;1.7517;0.691;0.1521;0.2172;0.8004;0.4174;0.1304;0.125;0.5128;0.154;0.2376;0;2.2301;0.002;1.9054;1.0804;2.1535;0.6259;0.5788;0.5763;0.611;0.2034;2.2799;0.1902;0;1.0681;0.6011;0.382
"10";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"10-2C2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 09:47";0;0;0;1.0861;0;1.7438;0.0122;1.732;0;0.1485;1.7356;0.6708;0.1482;0.2247;0.4703;0.2063;0.1247;0.1349;0.5162;0.15;0.2119;0;1.0622;0.0024;1.9693;1.7202;2.1366;0.658;0.6535;0.71;0.6184;0.1529;2.1379;0.1685;0;1.107;0.6097;0.2329
"11";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"11-2B2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 10:34";0.226;0;0.4387;2.5017;1.7257;1.7912;0.2798;1.7765;1.4363;0.319;5.1742;4.0031;1.1523;0.3907;1.8473;0.1643;0.9752;0.8577;3.505;0.3889;0.7968;1.1676;1.2403;0.0044;10.8973;1.8003;3.0973;8.1231;1.0397;1.3514;5.7958;0.1615;20.719;0.1356;1.9403;0.7729;0.6387;0.4222
"12";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"12-10C3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 11:20";0.103;0;0.297;2.2219;1.3722;1.7836;0.2468;1.7749;1.3872;0.2392;5.3421;4.0715;1.146;0.1819;2.1287;0.2104;1.0529;0.9153;3.6999;0.4173;0.6114;2.2492;1.4337;0.003;16.0158;1.4436;3.3444;10.8852;1.1239;1.6426;7.0652;0.2416;26.5049;0.3157;3.3588;3.4744;0.7133;0.2492
"13";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"13-10A3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 12:07";0.306;0;0.5211;3.228;2.7546;1.8667;0.3393;1.7756;2.57;0.3369;5.8842;5.4963;1.7984;0.4191;2.2777;0.1608;1.3102;1.0254;5.2194;0.4164;0.9281;1.8407;1.8445;0.0016;16.5966;2.3103;3.0211;7.075;1.0341;1.5094;4.6716;0.1784;14.6582;0.1888;2.2403;1.2139;0.6191;0.428
"14";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"14-9A3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 12:53";0.1348;0;0.409;2.1751;1.22;1.795;0.232;1.7469;0.9541;0.2468;5.4295;3.6213;1.0772;0.2427;1.1927;0.1591;0.7772;0.6591;2.9094;0.3664;0.4891;1.0656;1.4327;0.0032;55.8761;1.4507;2.8408;6.5957;0.944;0.8983;1.134;0.1691;20.1031;0.2014;2.8565;1.2867;0.6771;0.6744
