;;Name;Data File;Type;Level;Acq. Date-Time;i-C14:0;a-C14:0;C14:0;i-C15:0;a-C15:0;bohMe C16:0;C15:0;ribohMe C16:0;i-C16:0;7Me C17:0;C16:0;bohMe C17:0 sul284;bohMe C17:0 ;C16:1omega7;ribohMe C17:0;C16:1 omega5 ;i-C17:0;a-C17:0;10Me C18:0;C17:0;bohMe C18:0;C17delta;unk 126;C17:1 omega 9;C18:0;2-OH C14:0;bohMe C19:0;C18:1 omega 9 cis;C18:1 omega 9trans e 7cis;boh C18:1;C18:2;3-OH C14:0;C19:0;C19:0 delta;C20:0;2-OH C16:0;C20:2;cis-11.14-Eicosadienoic acid methyl ester
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B3 M RICORSO.D;Sample;NA;22/06/2017 20:11;3139;0;24834;53172;30082;4771;9288;1209;47773;7862;457800;1323;72769;1568;65919;1271;31837;27178;831;12426;184;848;70684;292;3308;53;63827;15444;2974;15674;29817;815;453734;1069;600;16;940;151
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B2 M.D;Sample;NA;22/06/2017 21:43;3354;126;13994;50457;27465;5114;8716;1844;37795;4905;433439;1145;57153;665;52593;1130;21774;20080;740;9728;22;556;65396;23;1884;16;18686;8895;2585;10539;139545;308;433401;1113;432;47;312;581
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B1 M.D;Sample;NA;22/06/2017 22:29;1914;185;25355;47706;28136;3352;10435;1542;41541;6084;518928;1177;69344;2558;58050;1502;25226;23076;805;15096;34;1552;135200;295;4097;21;38921;22179;4606;21979;50382;1423;537747;948;663;39;151;22
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B3 M.D;Sample;NA;22/06/2017 23:15;12293;21;34449;78583;44818;7093;10486;3334;46383;7329;198680;1011;51078;934;15854;1019;21180;16985;671;5413;110;537;193378;209;1396;22;13591;2790;1858;1199;6481;370;322484;769;268;27;91;450
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M.D;Sample;NA;23/06/2017 00:01;11711;242;45736;106133;57909;10060;17970;2396;73331;13782;394095;1649;92479;1692;108887;1712;35390;30296;1084;14754;284;1460;176005;180;2716;12;21952;6075;3392;3098;19437;216;439222;1555;558;85;304;11
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B2M.D;Sample;NA;23/06/2017 00:47;863;136;5996;29054;16342;3108;6107;1227;32417;5658;204849;1369;55395;792;53456;859;24676;18947;926;9580;131;773;57787;152;1846;13;13469;3943;2581;2535;13115;847;406969;1055;212;18;365;451
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;MIX SOIL.D;Sample;NA;23/06/2017 01:33;6508;103;14799;76015;37885;6435;9772;2349;51996;8132;254631;1533;74945;1619;31484;1446;32176;24770;1248;10009;35;1288;324103;91;1762;18;29607;4956;2811;3834;24357;168;496238;982;339;37;622;455
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C2M.D;Sample;NA;23/06/2017 02:19;12088;114;46376;91352;50837;8445;14256;2695;57929;8943;330034;1434;75533;1863;55210;1564;28056;25085;1055;12376;177;1361;216422;101;2418;13;12947;5746;3053;2371;23423;306;390760;1317;371;16;907;824
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C3M.D;Sample;NA;23/06/2017 03:05;7003;60;16387;51232;29250;4747;3934;1003;34872;5646;140764;744;40513;1129;29264;822;17018;16398;635;5904;147;717;102252;46;1114;31;11270;2520;1669;1632;6946;341;215817;667;194;53;142;524
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B1M.D;Sample;NA;23/06/2017 03:51;515;104;6094;26461;14031;3267;6863;1706;37528;7535;245222;1357;60625;772;64475;1035;29507;24527;1172;8454;127;1056;95946;66;2894;25;11963;5515;2543;2983;12291;156;529145;1418;551;103;516;632
