;;Name;Data File;Type;Level;Acq. Date-Time;i-C14:0;a-C14:0;C14:0;i-C15:0;a-C15:0;bohMe C16:0;C15:0;ribohMe C16:0;i-C16:0;7Me C17:0;C16:0;bohMe C17:0 sul284;bohMe C17:0 ;C16:1omega7;ribohMe C17:0;C16:1 omega5 ;i-C17:0;a-C17:0;10Me C18:0;C17:0;bohMe C18:0;C17delta;unk 126;C17:1 omega 9;C18:0;2-OH C14:0;bohMe C19:0;C18:1 omega 9 cis;C18:1 omega 9trans e 7cis;boh C18:1;C18:2;3-OH C14:0;C19:0;C19:0 delta;C20:0;2-OH C16:0;C20:2;cis-11.14-Eicosadienoic acid methyl ester
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B3 M RICORSO.D;Sample;NA;22/06/2017 20:11;0,035;0;0,5366;1,4173;1,0737;1,2071;0,2322;1,1591;1,3877;0,3425;7,3169;1,0476;2,0089;1,3571;1,8331;1,1257;0,9983;0,8694;0,7592;0,4596;0,3295;1,0555;194,6268;0,0168;2,4027;1,2787;3,1887;6,6473;1,7275;6,7377;2,4788;0,1751;9,6537;1,2938;0,4503;0,6425;0,6569;0,2275
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B2 M.D;Sample;NA;22/06/2017 21:43;0,04;0;0,286;1,3446;0,9799;1,2118;0,2185;1,1677;1,1135;0,2666;6,9883;0,9192;1,608;0,6525;1,4909;1,0156;0,7199;0,6731;0,6984;0,3904;0,2219;0,7511;180,1454;0,0014;1,4575;0,8157;2,4402;4,0635;1,5741;4,712;9,4016;0,1569;9,3166;1,3419;0,3399;0,7887;0,6173;0,256
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B1 M.D;Sample;NA;22/06/2017 22:29;0,0067;0;0,5486;1,2711;1,0039;1,188;0,2596;1,1636;1,2164;0,2968;8,1413;0,9422;1,921;2,13;1,631;1,3054;0,8154;0,7559;0,7417;0,5282;0,2297;1,7912;371,3059;0,017;2,9268;0,8759;2,7757;9,3043;2,3711;9,2252;3,7762;0,197;11,0467;1,1615;0,4913;0,7505;0,6072;0,219
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B3 M.D;Sample;NA;22/06/2017 23:15;0,2467;0;0,7588;2,0969;1,6015;1,2385;0,2609;1,1878;1,3495;0,3288;3,8223;0,8227;1,452;0,8623;0,5477;0,9287;0,7035;0,5875;0,6526;0,2796;0,2804;0,7305;530,6283;0,0121;1,1339;0,8929;2,3557;1,655;1,2871;1,0271;1,0065;0,1591;7,4775;0,9647;0,2323;0,6964;0,6034;0,2473
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M.D;Sample;NA;23/06/2017 00:01;0,2332;0;1,0198;2,8337;2,0704;1,2785;0,44;1,1751;2,0901;0,4945;6,4577;1,2823;2,515;1,4541;2,9362;1,4697;1,0966;0,9557;0,9266;0,5194;0,3961;1,695;483,0531;0,0104;2,01;0,7685;2,4944;2,9508;1,8923;1,7762;1,8239;0,1536;9,4131;1,8265;0,4223;0,9732;0,6168;0,2183
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B2M.D;Sample;NA;23/06/2017 00:47;0;0;0,1011;0,7723;0,5815;1,1847;0,1561;1,1593;0,9657;0,2859;3,9055;1,0807;1,5628;0,7516;1,5131;0,804;0,8002;0,6417;0,8222;0,3866;0,2947;0,9773;159,3081;0,0088;1,4328;0,7849;2,3537;2,1098;1,5723;1,5541;1,4251;0,1763;8,8783;1,2787;0,1959;0,6526;0,6206;0,2474
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;MIX SOIL.D;Sample;NA;23/06/2017 01:33;0,1129;0;0,3046;2,0282;1,3531;1,2296;0,2438;1,1745;1,5038;0,3494;4,5769;1,1987;2,0648;1,3969;0,949;1,2621;1,0077;0,8028;1,0359;0,3976;0,2304;1,5154;888,6224;0,0052;1,3769;0,8412;2,6213;2,5093;1,6632;2,0667;2,1343;0,1519;10,3585;1,1983;0,2791;0,7439;0,6369;0,2476
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C2M.D;Sample;NA;23/06/2017 02:19;0,2419;0;1,0346;2,4383;1,8171;1,2567;0,3511;1,1791;1,6668;0,3702;5,5938;1,1274;2,0799;1,5871;1,5581;1,354;0,8937;0,8115;0,9077;0,4584;0,3251;1,5924;593,7359;0,0058;1,8122;0,7815;2,3451;2,821;1,7586;1,4895;2,0754;0,1568;8,6095;1,5658;0,2999;0,6421;0,6549;0,2721
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C3M.D;Sample;NA;23/06/2017 03:05;0,1243;0;0,3413;1,3654;1,0439;1,2068;0,104;1,1563;1,0332;0,2856;3,0412;0,6301;1,1808;1,0143;0,892;0,775;0,5884;0,5712;0,6287;0,2922;0,3052;0,9186;281,0787;0,0026;0,947;1,0019;2,3173;1,5483;1,2126;1,198;1,0359;0,1581;5,7088;0,8531;0,1839;0,8183;0,6066;0,2523
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B1M.D;Sample;NA;23/06/2017 03:51;0;0;0,1033;0,7029;0,4987;1,1868;0,1742;1,1658;1,1062;0,3341;4,45;1,0723;1,6971;0,7359;1,796;0,9413;0,9338;0,7961;0,9853;0,3577;0,2919;1,2728;263,8093;0,0038;2,1278;0,9294;2,3287;2,7299;1,5574;1,7311;1,373;0,1515;10,9041;1,6766;0,4178;1,0587;0,6302;0,2594
