"";"MH1";"MH2";"Name";"Data.File";"Type";"Level";"Acq.Date.Time";"STAGIONE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"12ProC18.0";"02HydC16.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"18MetC19.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS";"SOMMA.AREE"
"1";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 500 M.D";"Cal";6;2017-06-26 11:24:00;"Aut";NA;NA;NA;NA;"A";86;182;44;20;62145;52271;39057;92;58638;47854;49;56162;12152;1600;259464;47276;75;47305;77;10244;49531;1135;61;1730;67;1917;1907;23;525;829;5;5;18229;46458;105;2279;196;774;820569
"2";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 300 M.D";"Cal";5;2017-06-26 12:10:00;"Aut";NA;NA;NA;NA;"A";57;421;25;29;81055;66684;49642;213;71543;56360;134;62181;13534;1773;270013;49647;61;111;50;13530;51482;1253;26;1173;42;1;1567;14;536;209;91;11;16282;42999;1221;2121;631;343;857065
"3";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 200 M.D";"Cal";4;2017-06-26 12:56:00;"Aut";NA;NA;NA;NA;"A";50;280;7;46;167823;144994;108277;219;162285;141065;62;164970;34646;4963;773165;140564;24;15;57;34109;151282;3699;201;5009;183;1;5883;32;1440;3537;96;13;58794;138240;3550;6001;864;682;2257128
"4";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 100 M.D";"Cal";3;2017-06-26 13:42:00;"Aut";NA;NA;NA;NA;"A";86;336;12;9;262568;217063;160629;127;229856;186710;1445;211111;47781;6456;971316;183083;85;2;39;48914;201351;4984;455;3948;20;12;7066;14;1795;560;931;25;78784;178759;3806;7740;480;847;3019205
"5";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 20 M.D";"Cal";1;2017-06-26 14:52:00;"Aut";NA;NA;NA;NA;"A";53;3741;10;57;4798489;3557062;2634969;182;3751477;2598206;219;2844419;625891;33437;10329203;1961140;289;59;0;1030024;1073174;54985;105;778;1458;1;62206;53;24261;3865;211;197;933974;1908442;60239;127217;983;809;38421885
"6";"!";"!";"c19 dil 50";"STD BAME DIL 50.D";"Cal";2;2017-06-28 16:59:00;"Aut";NA;NA;NA;NA;"A";38;962;0;34;1250668;1019970;758731;156;1096021;865169;2673;952163;201541;26917;3872723;736049;15;76;415;241848;730844;17276;1901;770;139;0;24153;21;4502;2004;58;8;264178;541916;5825;22610;308;77;12642759
"7";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B3 M.D";"Sample";NA;2017-06-22 19:25:00;"Aut";"CO10B3m";"CO";"10";"Rip";"3";72;26660;13;166;15858;28675;14341;1690;7226;22104;779;231307;38134;511;127265;18752;777;13537;18933;85;8297;56;23;599;54;0;1881;240;940;200;55;313;6418;249290;448;206;790;714;837409
"8";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B3 M RICORSO.D";"Sample";NA;2017-06-22 20:11:00;"Aut";"CO10B3m";"CO";"10";"Rip";"3";28;3139;20;69;24834;53172;30082;5423;9288;47773;7530;457800;72660;1568;110117;31679;1308;27178;33301;192;12426;252;292;1481;449;7;3308;621;2144;241;82;380;29817;453734;1366;600;940;151;1425452
"9";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B2 M.D";"Sample";NA;2017-06-22 21:43:00;"Aut";"OO04B2m";"OO";"04";"Rip";"2";60;3354;31;126;13994;50457;27465;5147;8716;37795;5248;433439;57096;665;94030;21770;1094;20080;31939;154;9728;168;23;870;41;17;1884;465;1287;597;43;300;139545;433401;1293;432;312;581;1403647
"10";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B1 M.D";"Sample";NA;2017-06-22 22:29:00;"Aut";"CO09B1m";"CO";"09";"Rip";"1";42;1914;37;185;25355;47706;28136;3100;10435;41541;5410;518928;69190;2558;95851;26002;1511;23076;28090;46;15096;562;295;1075;18;3;4097;560;3035;773;697;584;50382;537747;1082;663;151;22;1545955
"11";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B3 M.D";"Sample";NA;2017-06-22 23:15:00;"Aut";"OO02B3m";"OO";"02";"Rip";"3";94;12293;14;21;34449;78583;44818;6863;10486;46383;6809;198680;50744;934;121288;21180;1009;16985;24983;366;5413;94;209;360;21;3;1396;672;266;942;29;238;6481;322484;769;268;91;450;1017168
