"";"MH.1";"MH.2";"Name";"DATA.FILE";"Type";"Level";"INJ.DATE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS"
"1";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 500 M.D";"Cal";6;2017-06-26 11:24:00;"STD BAME DIL 500 M";NA;"D ";"Rip";"A";86;182;44;-2;62145;52271;39057;38981;58638;47854;49;56162;12152;1600;259464;47276;75;47305;49531;1196;61;17445;47501;1917;1907;525;446640;20276;28;18229;46458;105;2279;196;774
"2";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 300 M.D";"Cal";5;2017-06-26 12:10:00;"STD BAME DIL 300 M";NA;"D ";"Rip";"A";57;421;25;29;81055;66684;49642;49361;71543;56360;134;62181;13534;1773;270013;49647;61;49372;51482;1265;26;239386;45522;1539;1567;536;414128;18253;538;16282;42997;1220;2121;631;2170
"3";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 200 M.D";"Cal";4;2017-06-26 12:56:00;"STD BAME DIL 200 M";NA;"D ";"Rip";"A";50;280;1635;102552;167823;144994;108277;107851;162285;141065;62;164970;34646;4963;773165;140564;24;140723;151282;3687;201;673195;144594;5938;5883;1440;1360409;65010;1451;58794;138240;3550;6001;864;682
"4";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 100 M.D";"Cal";3;2017-06-26 13:42:00;"STD BAME DIL 100 M";NA;"D ";"Rip";"A";86;336;12;129;262568;217063;160629;160276;229856;186710;1445;211111;47781;6456;971316;183083;85;183358;201351;5010;455;891585;191264;7082;7066;1934;1794109;83121;1900;78784;178759;3806;7740;480;847
"5";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 20 M.D";"Cal";1;2017-06-26 14:52:00;"STD BAME DIL 20 M";NA;"D ";"Rip";"A";53;3741;106197;10961;4798489;3557062;2634969;2635836;3751477;2598206;-334;2844419;625891;33437;5269958;995419;504;995521;1152366;54951;105;5426158;610431;25874;62206;17511;14231929;654521;17491;933974;1908442;60239;127217;983;809
"6";"";"!";"c19 dil 50";"STD BAME DIL 50.D";"Cal";2;2017-06-28 16:59:00;"STD BAME DIL 50 M";NA;"D ";"Rip";"A";38;962;23972;1081473;1250668;1019970;758731;758420;1096021;865169;2673;952163;201541;26917;3872723;736049;90;736069;730844;17414;1901;3152090;636000;24254;24153;4601;6155099;285787;2035;264178;541916;7106;22610;308;1130
"7";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B3 M.D";"Sample";NA;2017-06-22 19:25:00;"CO10B3m";"CO";"10";"Rip";"3";72;26660;13;148;15858;28675;14341;1690;7226;22104;779;231307;38134;952;127265;18752;777;13537;8297;57;23;15049;5373;1852;1881;952;1469936;14397;104;6418;249290;32;206;790;714
"8";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B3 M RICORSO.D";"Sample";NA;2017-06-22 20:11:00;"CO10B3m";"CO";"10";"Rip";"3";28;3139;101;136;24834;53172;30082;5423;9288;47773;7530;457800;72660;2612;110117;31679;1308;27178;12426;29;292;367810;107712;3354;3308;2123;2819400;28684;380;29817;453734;92;600;940;1120
"9";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B2 M.D";"Sample";NA;2017-06-22 21:43:00;"OO04B2m";"OO";"04";"Rip";"2";60;3354;31;9989;13994;50457;27465;5147;8716;37795;5248;433439;57096;1640;94030;21770;1094;20080;9728;84;23;27164;58418;1916;1884;1287;1728871;17908;188;139545;433401;1293;432;312;581
"10";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B1 M.D";"Sample";NA;2017-06-22 22:29:00;"CO09B1m";"CO";"09";"Rip";"1";42;1914;37;290;25355;47706;28136;3100;10435;41541;5410;518928;69190;3611;95851;26002;1511;23076;15096;555;295;602995;120619;4108;4097;2903;3706007;34500;584;50382;537747;64;663;2011;3068
"11";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B3 M.D";"Sample";NA;2017-06-22 23:15:00;"OO02B3m";"OO";"02";"Rip";"3";94;12293;14;311;34449;78583;44818;6863;10486;46383;6809;198680;50744;1568;121288;21180;1009;16985;5413;35;209;677103;39922;1418;1396;266;553657;10748;238;6481;322484;154;305;1550;1941
"12";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C1M.D";"Sample";NA;2017-06-23 00:01:00;"CO09C1m";"CO";"09";"Fzo";"1";72;11711;55;242;45736;106133;57909;8919;17970;73331;9900;394095;92331;3373;191134;35390;1715;30296;14754;637;180;724938;82912;2735;2716;659;1238211;24905;433;19437;439222;132;558;304;2080
"13";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B2M.D";"Sample";NA;2017-06-23 00:47:00;"CO09B2m";"CO";"09";"Rip";"2";59;863;29;559;5996;29054;16342;3210;6107;32417;5326;204849;55566;1318;109787;24676;871;18947;9580;210;80;14830;52711;1941;1846;262;793068;19543;206;13115;406969;56;212;4146;451
"14";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"MIX SOIL.D";"Sample";NA;2017-06-23 01:33:00;"MS00D0m";"MS";"00";"D";"0";35;6508;11;274;14799;76015;37885;6520;9772;51996;8157;254631;74500;2295;162250;32176;1451;24770;10009;96;70;1127836;53402;1770;1762;572;1033753;24163;391;24357;496238;144;339;622;455
"15";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C2M.D";"Sample";NA;2017-06-23 02:19:00;"CO09C2m";"CO";"09";"Fzo";"2";159;12088;435;572;46376;91352;50837;8166;14256;57929;9096;330034;75520;3080;106614;28056;1563;25085;12376;575;101;814662;63826;2405;2418;834;1048797;26654;401;23423;390760;119;371;907;824
