Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17:0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;forse12propylC18:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9.10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;forse i-C19:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18:2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11.14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;KOVATS MIX 25 PPM.D;Sample;;28/09/2017 02:44;19;372;28;103;476;268;229;91;313;705;217;2547;216;137;13771440;499;185;387;1870;1791;364;74;21;131003;2939;43;30;26;44;0;556;26;449;9268;147;35;831;70757
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;2-9B1 COLONNA TAGLIATA.D;Sample;;28/09/2017 03:31;996;19137;15;192;38710;138157;78018;6344;19714;78964;7540;618091;55277;46;88146;13251;91;49808;33182;751;45992;2274;17;1852;69;0;252198;7956;7790;5601;2082;257;166165;2088933;56;8270;538;897
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;3-4C1 COLONNA TAGLIATA.D;Sample;;28/09/2017 04:18;186;4836;30;25;6095;48364;28161;2883;8391;30929;3588;368084;31946;55;59632;9059;56;26951;9656;752;11903;1124;56;1482;0;0;297365;4503;5363;0;0;322;114953;1681076;36;6914;59;38
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;4-9B2 COLONNA TAGLIATA.D;Sample;;28/09/2017 05:06;705;10098;51;164;32779;111705;66832;6213;16542;72692;5234;471110;56090;48;115811;13522;36;44123;35568;660;41108;2094;59;110;0;0;81980;8128;7600;5541;741;456;158059;2206191;71;6014;805;93
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;5-9C2 COLONNA TAGLIATA.D;Sample;;28/09/2017 05:52;1896;35553;0;193;54387;261364;137422;15627;32353;161046;11327;640791;120102;112;110516;16431;108;81102;79709;439;68541;3406;26;1057;0;0;42176;11355;4331;0;365;296;97454;1500711;0;5429;0;10
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;6-9B3 COLONNA TAGLIATA.D;Sample;;28/09/2017 06:39;1037;20244;51;12;39260;156180;85709;9316;21525;96361;4695;512187;50195;146;27562;1618;34;29827;45229;139;28631;1740;71;755;33;0;46187;7774;6616;2883;467;256;148568;1877690;89;5551;0;19
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;7-MIX BIS COLONNA TAGLIATA.D;Sample;;28/09/2017 07:26;752;14289;18;6;23116;130603;65633;10487;14879;76471;6491;344934;60712;13;49873;8395;37;40996;49868;265;31848;1593;17;823;109;0;98918;6095;3435;0;1636;115;59055;873159;28;4225;58;564
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;8-10B2 COLONNA TAGLIATA.D;Sample;;28/09/2017 08:13;523;10649;32;295;18783;131795;67060;8174;14578;85964;10368;370671;62123;123;77358;9362;56;44976;46849;762;32285;2441;136;687;0;0;186340;6535;2102;5701;3719;166;37034;684452;38;5058;171;158
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;9-9A2 COLONNA TAGLIATA.D;Sample;;28/09/2017 09:00;39;311;10;192;241;278;163;245;290;436;524;1644;430;154;44107;265;231;233;416;36;254;43;34;0;97;28;80;21;66;0;0;59;1065;5290;34;82;0;30
