Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17:0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;forse12propylC18:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9.10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;forse i-C19:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18:2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11.14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 500 M.D;Cal;6;26/06/2017 11:24;86;182;44;20;62145;52271;39057;92;58638;47854;49;56162;12152;1600;259464;47276;75;47305;77;10244;49531;1135;61;1730;67;1917;1907;23;525;829;5;5;18229;46458;105;2279;196;774
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 300 M.D;Cal;5;26/06/2017 12:10;57;421;25;29;81055;66684;49642;213;71543;56360;134;62181;13534;1773;270013;49647;61;111;50;13530;51482;1253;26;1173;42;1;1567;14;536;209;91;11;16282;42999;1221;2121;631;343
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 200 M.D;Cal;4;26/06/2017 12:56;50;280;7;46;167823;144994;108277;219;162285;141065;62;164970;34646;4963;773165;140564;24;15;57;34109;151282;3699;201;5009;183;1;5883;32;1440;3537;96;13;58794;138240;3550;6001;864;682
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 100 M.D;Cal;3;26/06/2017 13:42;86;336;12;9;262568;217063;160629;127;229856;186710;1445;211111;47781;6456;971316;183083;85;2;39;48914;201351;4984;455;3948;20;12;7066;14;1795;560;931;25;78784;178759;3806;7740;480;847
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 20 M.D;Cal;1;26/06/2017 14:52;53;3741;10;57;4798489;3557062;2634969;182;3751477;2598206;219;2844419;625891;33437;10329203;1961140;289;59;0;1030024;1073174;54985;105;778;1458;1;62206;53;24261;3865;211;197;933974;1908442;60239;127217;983;809
!;!;c19 dil 50;STD BAME DIL 50.D;Cal;2;28/06/2017 16:59;38;962;0;34;1250668;1019970;758731;156;1096021;865169;2673;952163;201541;26917;3872723;736049;15;76;415;241848;730844;17276;1901;770;139;0;24153;21;4502;2004;58;8;264178;541916;5825;22610;308;77
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B3 M.D;Sample;;22/06/2017 19:25;72;26660;13;166;15858;28675;14341;1690;7226;22104;779;231307;38134;511;127265;18752;777;13537;18933;85;8297;56;23;599;54;0;1881;240;940;200;55;313;6418;249290;448;206;790;714
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B3 M RICORSO.D;Sample;;22/06/2017 20:11;28;3139;20;69;24834;53172;30082;5423;9288;47773;7530;457800;72660;1568;110117;31679;1308;27178;33301;192;12426;252;292;1481;449;7;3308;621;2144;241;82;380;29817;453734;1366;600;940;151
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4B2 M.D;Sample;;22/06/2017 21:43;60;3354;31;126;13994;50457;27465;5147;8716;37795;5248;433439;57096;665;94030;21770;1094;20080;31939;154;9728;168;23;870;41;17;1884;465;1287;597;43;300;139545;433401;1293;432;312;581
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B1 M.D;Sample;;22/06/2017 22:29;42;1914;37;185;25355;47706;28136;3100;10435;41541;5410;518928;69190;2558;95851;26002;1511;23076;28090;46;15096;562;295;1075;18;3;4097;560;3035;773;697;584;50382;537747;1082;663;151;22
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B3 M.D;Sample;;22/06/2017 23:15;94;12293;14;21;34449;78583;44818;6863;10486;46383;6809;198680;50744;934;121288;21180;1009;16985;24983;366;5413;94;209;360;21;3;1396;672;266;942;29;238;6481;322484;769;268;91;450
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M.D;Sample;;23/06/2017 00:01;72;11711;55;242;45736;106133;57909;8919;17970;73331;9900;394095;92331;1692;191134;35390;1715;30296;47047;64;14754;667;180;1029;44;8;2716;673;641;1056;73;433;19437;439222;1555;558;304;11
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B2M.D;Sample;;23/06/2017 00:47;59;863;29;136;5996;29054;16342;3210;6107;32417;5326;204849;55566;792;109787;24676;871;18947;35291;151;9580;211;152;1084;17;5;1846;452;510;447;47;206;13115;406969;1055;212;365;451
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;MIX SOIL.D;Sample;;23/06/2017 01:33;35;6508;11;175;14799;76015;37885;6520;9772;51996;8157;254631;74500;1619;162250;32176;1451;24770;43085;26;10009;379;91;3817;16;18;1762;476;572;1508;10;391;24357;496238;982;339;622;455
