Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17.0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9,10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18 :2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11,14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 500 M.D;Cal;6;26/06/2017 11:24;86;182;44;20;62145;52271;39057;92;58638;47854;49;56162;12152;1600;259464;47276;75;47305;10244;49531;1135;61;17445;47501;1917;1907;525;446640;20276;5;18229;46458;105;2279;196;774
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 300 M.D;Cal;5;26/06/2017 12:10;57;421;25;29;81055;66684;49642;213;71543;56360;134;62181;13534;1773;270013;49647;61;111;13530;51482;1253;26;239386;45522;1539;1567;536;414128;18253;11;16282;42999;63;2121;631;2170
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 200 M.D;Cal;4;26/06/2017 12:56;50;280;7;46;167823;144994;108277;219;162285;141065;62;164970;34646;4963;773165;140564;24;15;34109;151282;3699;201;673195;144594;5938;5883;1440;1360409;65010;13;58794;138240;3550;6001;864;682
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 100 M.D;Cal;3;26/06/2017 13:42;86;336;12;9;262568;217063;160629;127;229856;186710;1445;211111;47781;6456;971316;183083;85;2;48914;201351;4984;455;891585;191264;7082;7066;1934;1794109;83121;25;78784;178759;3806;7740;480;847
!;!;c19 dil 50;STD BAME DIL 50.D;Cal;2;28/06/2017 16:59;38;962;0;34;1250668;1019970;758731;156;1096021;865169;2673;952163;201541;26917;3872723;736049;15;76;241848;730844;17276;1901;3152090;636000;24254;24153;4502;6155099;285787;8;264178;541916;7106;22610;308;1130
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 20 M.D;Cal;1;26/06/2017 14:52;53;3741;10;57;4798489;3557062;2634969;182;3751477;2598206;219;2844419;625891;33437;10329203;1961140;289;59;1030024;1073174;54985;105;5426158;610431;25874;62206;24261;14231929;654521;197;933974;1908442;60239;127217;983;809
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C3M.D;Sample;;23/06/2017 09:14;82;2510;23;5;25658;53708;30833;5773;12262;59820;8266;492644;78779;2080;144245;34752;2748;29323;84;16526;521;135;28513;109213;3789;3752;2234;2789476;31034;698;26430;484821;243;853;5113;142
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C2M.D;Sample;;23/06/2017 20:17;164;5887;32;85;33046;98505;50425;6560;7741;67376;11112;282495;87782;1649;222373;34897;1709;29430;40;10765;542;55;1548028;3265;2189;2255;624;998849;26674;577;13116;586406;170;410;1267;477
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C1M.D;Sample;;24/06/2017 00:53;183;17236;8;92;85230;108034;65828;11375;19082;70252;11440;462504;76490;3785;153248;27379;2105;24421;45;12008;286;34;1336100;59873;2448;2454;1519;1630977;23152;222;18232;268939;96;454;1104;795
