CAMPIONI.MASSHUNTER;CAMPIONI.R
KOVATS MIX 25 PPM.D;ko000000
2-9B1 COLONNA TAGLIATA.D;CO09B1m
3-4C1 COLONNA TAGLIATA.D;OO04C1m
4-9B2 COLONNA TAGLIATA.D;CO09B2m
5-9C2 COLONNA TAGLIATA.D;CO09C2m
6-9B3 COLONNA TAGLIATA.D;CO09B3m
7-MIX BIS COLONNA TAGLIATA.D;MS00D1m
8-10B2 COLONNA TAGLIATA.D;CO10B2m
9-9A2 COLONNA TAGLIATA.D;CO09A2m
10-2C2 COLONNA TAGLIATA.D;OO02C2m
11-2B2 COLONNA TAGLIATA.D;OO02B2m
12-10C3 COLONNA TAGLIATA.D;CO10C3m
13-10A3 COLONNA TAGLIATA.D;CO10A3m
14-9A3 COLONNA TAGLIATA.D;CO09A3m
15-MIX BIS COLONNA TAGLIATA.D;MS00D2m
16-4B1 COLONNA TAGLIATA.D;OO04B1m
17-10C1 COLONNA TAGLIATA.D;CO10C1m
18-9C1 COLONNA TAGLIATA.D;CO09C1m
19-10B3 BIS COLONNA TAGLIATA.D;CO10B3m
20-2B1 COLONNA TAGLIATA.D;OO02B1m
21-10C2 COLONNA TAGLIATA.D;CO10C2m
22-9A1 COLONNA TAGLIATA.D;CO09A1m
23-10B1 COLONNA TAGLIATA.D;CO10B1m
24-2A3 COLONNA TAGLIATA.D;OO02A3m
25-2C3 COLONNA TAGLIATA.D;OO02C3m
26-4B3 COLONNA TAGLIATA.D;OO04B3m
27-4C2 COLONNA TAGLIATA.D;OO04C2m
28-2B3 COLONNA TAGLIATA.D;OO02B3m
29-2A1 COLONNA TAGLIATA.D;OO02A1m
30-10B3 COLONNA TAGLIATA.D;CO10B3m
31-4A1 COLONNA TAGLIATA.D;OO04A1m
32-4B2 COLONNA TAGLIATA.D;OO04B2m
33-4A2 COLONNA TAGLIATA.D;OO04A2m
34-10A2 COLONNA TAGLIATA.D;CO10A2m
35-9C3 COLONNA TAGLIATA.D;CO09C3m
36-4C3 COLONNA TAGLIATA.D;OO04C3m
37-10A1 COLONNA TAGLIATA.D;CO10A1m
38-2C1 COLONNA TAGLIATA.D;OO02C1m
39-2A2 COLONNA TAGLIATA.D;OO02A2m
40-BIANCO BIS COLONNA TAGLIATA.D;BI00N0
