NOME.MASSHUNTER;NOME.R;CAMPIONI.MASSHUNTER;CAMPIONI.R
i-C14:0 sul 242 Results;12MetC14:0.on.242;STD BAME DIL 500 M.D;STD BAME DIL 500 M
i-C14:0 Results;12MetC14:0.on.TIC;STD BAME DIL 300 M.D;STD BAME DIL 300 M
a-C14:0 sul 242 Results;11MetC14:0.on.242;STD BAME DIL 200 M.D;STD BAME DIL 200 M
a-C14:0 Results;11MetC14:0.on.TIC;STD BAME DIL 100 M.D;STD BAME DIL 100 M
C14:0 Results;00LinC14:0;STD BAME DIL 20 M.D;STD BAME DIL 20 M
i-C15:0 Results;13MetC15:0;STD BAME DIL 50.D;STD BAME DIL 50 M
a-C15:0 Results;12MetC15:0;CO10B3 M.D;CO10B3m
8MethylC15:0 Results;08MetC15:0;CO10B3 M RICORSO.D;CO10B3m
C15:0 Results;00LinC15:0;OO4B2 M.D;OO04B2m
i-C16:0 Results;14MetC16:0;CO9B1 M.D;CO09B1m
12EthylC16:0 Results;12EthC16:0;OO2B3 M.D;OO02B3m
C16:0 Results;00Linc16:0;CO9C1M.D;CO09C1m
12EthylC17:0 Results;12EthC17:0;CO9B2M.D;CO09B2m
C16-1 Results;00LinC16:1;MIX SOIL.D;MixSoil
i -C17.0 sul tic  Results;15MetC17:0.on.TIC;CO9C2M.D;CO09C2m
i-C17:0 Results;15MetC17:0;CO10C3M.D;CO10C3m
C16:1 omega5 ? Results;00LinC16:1.omega5.UNK;OO4B1M.D;OO04B1m
a-C17:0 Results;14MetC17:0;OO2C1M.D;OO02C1m
C17:0 Results;00LinC17:0;CO10C1M.D;CO10C1m
cis 9,10 methylenehexadecanoate Results;00LinC17:2.9.10CIS;OO4A2M.D;OO04A2m
C17:1 omega 9 Results;00LinC17:1.omega9;CO10A2M.D;CO10A2m
10MethylC17:0 sul tic Results;10MetC17:0.on.TIC;OO2C2M.D;OO02C2m
10MethylC17:0 sol 74 Results;10MetC17:0.on.74;CO10A3M.D;CO10A3m
10MethylC17:0 Results;10MetC17:0;OO4C3M.D;OO04C3m
C18:0 Results;00LinC18:0;CO9B3M.D;CO09B3m
C18:1 omega 6 cis e trans Results;00LinC18:1.omega6.CISTRANS;CO10B2M.D;CO10B2m
10MethylC18:0 sul tic Results;10MetC18:0.on.TIC;OO2A1M.D;OO02A1m
10MethylC18:0 sul 74 Results;10MetC18:0.on.74;CO9C1M FORSE.D;CO09C1m
C18:1 omega 5 Results;00LinC18:1.omega5;CO9A3M.D;CO09A3m
C18 :2 Results;00LinC18:2;OO4B3M.D;OO04B3m
C19:0 Results;00LinC19:0;CO10A1M.D;CO10A1m
C19:0 delta Results;00LinC19:0.delta;OO2A3M.D;OO02A3m
C20:0 Results;00LinC20:0;CO9A1M.D;CO09A1m
C20:2 Results;00LinC20:2;CO10C2M.D;CO10C2m
cis-11,14-Eicosadienoic acid methyl ester Results;00LinC20:2.11.14CIS;OO4C2M.D;OO04C2m
;;CO10B1M.D;CO10B1m
;;OO2B2M.D;OO02B2m
;;OO2C3M.D;OO02C3m
;;OO4A1M.D;OO04A1m
;;CO9A2M.D;CO09A2m
;;OO4C1M.D;OO04C1m
;;OO4A3M.D;OO04A3m
;;OO2A2M.D;OO02A2m
;;CO9C3MR.D;CO09C3m
;;CO9C1MR.D;CO09C1m
;;OO2B1 M.D;OO02B1m
;;OO2B1 RICORSO M.D;OO02B1m
