Sample,,,,,,,i-C14:0 Results,a-C14:0 Results,C14:0 Results,i-C15:0 Results,a-C15:0 Results,bohMe C16:0 Results,C15:0 Results,ribohMe C16:0 Results,i-C16:0 Results,7Me C17:0 Results,C16:0 Results,bohMe C17:0 sul284 Results,bohMe C17:0  Results,C16:1omega7 Results,ribohMe C17:0 Results,C16:1 omega5  Results,i-C17:0 Results,a-C17:0 Results,10Me C18:0 Results,C17:0 Results,bohMe C18:0 Results,C17delta Results,unk 126 Results,C17:1 omega 9 Results,C18:0 Results,2-OH C14:0 Results,bohMe C19:0 Results,C18:1 omega 9 cis Results,C18:1 omega 9trans e 7cis Results,boh C18:1 Results,C18:2 Results,3-OH C14:0 Results,C19:0 Results,C19:0 delta Results,C20:0 Results,2-OH C16:0 Results,C20:2 Results,cis-11.14-Eicosadienoic acid methyl ester Results
,,Name,Data File,Type,Level,Acq. Date-Time,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,BIANCO.D,Sample,,03/11/2017 13:12,59,121,2717,298,421,65,1581,23299,245,163,72938,4,242,615,2749,56,85,706,12,1165,13,74,68,1,102979,1,17801,5246,334,451,1392,716,584947,55,869,75,99,20422
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,BIANCOBIS.D,Sample,,03/11/2017 13:58,43,35,3590,2098,1142,111,1817,3513,84,131,91558,79,615,703,7791,64,76,569,31,1198,9,33,40,18,135464,2,26437,7468,574,1534,2684,275,711649,18,1587,23,27,650
!,!,2.5 G SUOLO RIPRESO CON 200 UL EPTANO,MIX2017-2E5G.D,Sample,,03/11/2017 18:32,14582,91,28549,162056,71443,11539,20596,33610,106488,14755,435170,9576,92083,729,115048,16,58270,44719,11789,18513,1610,3001,362,2,216011,10,90453,11693,1146,1346,3023,46,798174,50,5166,23,42,1830
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,COO09A2M2017.D,Sample,,03/11/2017 19:18,1315,126,5980,21631,8177,654,3532,1815,16180,1195,123086,1429,13520,491,21329,29,7165,6197,1478,1897,177,351,14,24,102398,4,27639,6973,438,1370,2887,870,680933,14,1643,32,227,318
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,OO02B1M2016.D,Sample,,03/11/2017 20:03,2192,107,6748,18960,9292,987,3486,5488,10631,1073,103536,990,11547,374,22265,29,7623,3206,1118,2445,91,231,18,15,77722,2,25034,6516,256,566,1804,279,625502,24,1548,22,9,434
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,OO04A3M2017.D,Sample,,03/11/2017 20:48,3544,54,9617,31608,14213,2249,4779,3860,17008,1829,101411,1957,16481,715,29394,8,9888,6643,1674,2528,228,347,16,21,36321,2,22804,5902,577,1151,2156,769,455529,9,883,37,76,417
!,!,2.5 G SUOLO RIPRESO CON 200 UL EPTANO,MIX2016-2E5G.D,Sample,,03/11/2017 21:33,19257,222,37030,187596,81465,13832,23067,66858,118052,15462,441010,10977,98516,783,89347,8,70684,54000,13833,21110,1738,2939,50,3,83657,21,96950,11245,1353,875,4906,1086,1106033,34,4531,37,48,231
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,OO02C2M2017.D,Sample,,03/11/2017 22:18,3288,87,8183,23414,11554,973,4438,7851,15556,1398,86160,1460,12503,521,11377,12,6179,3097,1136,2323,177,264,43,11,39399,5,19697,5536,387,696,2541,2743,395134,19,966,84,43,663
