Sample,,,,,,,i-C14:0 Results,a-C14:0 Results,C14:0 Results,i-C15:0 Results,a-C15:0 Results,bohMe C16:0 Results,C15:0 Results,ribohMe C16:0 Results,i-C16:0 Results,7Me C17:0 Results,C16:0 Results,bohMe C17:0 sul284 Results,bohMe C17:0  Results,C16:1omega7 Results,ribohMe C17:0 Results,C16:1 omega5  Results,i-C17:0 Results,a-C17:0 Results,10Me C18:0 Results,C17:0 Results,bohMe C18:0 Results,C17delta Results,unk 126 Results,C17:1 omega 9 Results,C18:0 Results,2-OH C14:0 Results,bohMe C19:0 Results,C18:1 omega 9 cis Results,C18:1 omega 9trans e 7cis Results,boh C18:1 Results,C18:2 Results,3-OH C14:0 Results,C19:0 Results,C19:0 delta Results,C20:0 Results,2-OH C16:0 Results,C20:2 Results,cis-11.14-Eicosadienoic acid methyl ester Results
,,Name,Data File,Type,Level,Acq. Date-Time,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,KOVATS MIX 25 PPM.D,Sample,,28/09/2017 02:44,21,105,1572,3495,241,298,392,55,1328,1579,2839,55,612,59,13805062,21,533,271,31,330,35,44,87363,6192,102,68,538,73,65,585,507,968,11574,37,35,186,769,70685
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,2-9B1 COLONNA TAGLIATA.D,Sample,,28/09/2017 03:31,18764,47,38530,138157,78136,5212,19650,2553,78971,7363,618421,7632,55992,49,116610,101,48670,46450,5260,22332,1731,2448,70,22,252264,107,128900,40240,1821,435,166743,2984,2092918,86,8258,80,538,669
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,3-4C1 COLONNA TAGLIATA.D,Sample,,28/09/2017 04:18,4552,234,6688,48321,28162,3622,8424,1075,30902,2452,366846,3789,31870,13,62735,45,29541,11871,2940,10213,699,1025,1,72,297397,75,72686,25174,1344,1032,114609,567,1682115,131,6953,235,2258,2183
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,4-9B2 COLONNA TAGLIATA.D,Sample,,28/09/2017 05:06,10204,520,33419,112013,66146,6550,16435,3032,72440,7335,471157,6949,56016,24,117799,36,44542,40555,5681,16595,1446,2092,34,23,81958,29,109671,37989,1531,223,159251,2580,2206828,44,6015,67,805,1648
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,5-9C2 COLONNA TAGLIATA.D,Sample,,28/09/2017 05:52,35636,538,53489,261364,137140,16592,32196,8047,161254,11820,640714,14025,120102,142,80799,35,79811,66430,12198,28279,2911,3427,50,27,42132,46,89989,22680,1455,450,97443,1385,1501537,108,5573,57,5511,2431
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,6-9B3 COLONNA TAGLIATA.D,Sample,,28/09/2017 06:39,20311,218,39707,156689,85587,11572,21424,3364,96821,12281,514469,6961,52381,423,27524,139,30495,28352,8279,14219,1862,1728,16,9,46186,62,94380,32753,1301,1789,148396,1322,1877953,82,5593,361,6591,2917
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,7-MIX BIS COLONNA TAGLIATA.D,Sample,,28/09/2017 07:26,14332,636,22871,130539,65074,9570,15014,4418,76193,6917,345024,8123,61135,29,87263,111,40845,31640,8038,10822,1341,1540,303,43,98898,45,57784,17348,1319,454,59055,1763,875850,58,4202,150,5123,291
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,8-10B2 COLONNA TAGLIATA.D,Sample,,28/09/2017 08:13,10512,503,18782,131817,66969,9669,14578,3079,85743,10166,370671,8024,61298,65,89668,181,45019,32396,7108,16061,1270,2292,867,126,186407,50,40124,9224,811,302,37040,3011,681550,131,5058,97,3731,555
!,!,1 G SUOLO RIPRESO CON 200 UL EPTANO,9-9A2 COLONNA TAGLIATA.D,Sample,,28/09/2017 09:00,311,109,66,360,82,163,300,388,890,350,1510,59,447,107,25699,364,462,266,48,522,45,160,428,34,37,37,1396,182,63,56,212,1603,9014,63,73,104,55,2486
